"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",132,128,97.0,128,13,10.2,10,7.8,25,19.5,34,26.6,46,35.9,80,62.5
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",201,201,100.0,201,"*","*","*","*",33,16.4,105,52.2,52,25.9,157,78.1
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",189,189,100.0,189,"*","*","*","*",24,12.7,101,53.4,51,27.0,152,80.4
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",219,217,99.1,216,7,3.2,15,6.9,57,26.4,50,23.1,87,40.3,137,63.4
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",116,116,100.0,116,"*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",50,46,92.0,46,8,17.4,10,21.7,13,28.3,8,17.4,7,15.2,15,32.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",204,204,100.0,203,34,16.7,50,24.6,95,46.8,"*","*","*","*",24,11.8
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",170,168,98.8,168,"*","*","*","*",90,53.6,33,19.6,22,13.1,55,32.7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",156,156,100.0,155,"*","*","*","*",60,38.7,33,21.3,40,25.8,73,47.1
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",133,131,98.5,131,37,28.2,"*","*",57,43.5,"*","*",0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",195,195,100.0,195,35,17.9,70,35.9,80,41.0,"*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",153,153,100.0,153,10,6.5,39,25.5,71,46.4,23,15.0,10,6.5,33,21.6
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",170,170,100.0,170,"*","*","*","*",79,46.5,30,17.6,32,18.8,62,36.5
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",121,120,99.2,120,10,8.3,23,19.2,44,36.7,25,20.8,18,15.0,43,35.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",157,157,100.0,157,10,6.4,24,15.3,62,39.5,32,20.4,29,18.5,61,38.9
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",164,163,99.4,163,"*","*","*","*",70,42.9,46,28.2,33,20.2,79,48.5
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",115,115,100.0,115,9,7.8,19,16.5,61,53.0,15,13.0,11,9.6,26,22.6
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",169,169,100.0,168,"*","*","*","*",91,54.2,36,21.4,27,16.1,63,37.5
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",192,192,100.0,192,6,3.1,12,6.3,103,53.6,47,24.5,24,12.5,71,37.0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",137,137,100.0,137,12,8.8,20,14.6,54,39.4,31,22.6,20,14.6,51,37.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",142,142,100.0,142,8,5.6,20,14.1,71,50.0,30,21.1,13,9.2,43,30.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",202,202,100.0,202,10,5.0,40,19.8,99,49.0,30,14.9,23,11.4,53,26.2
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",106,106,100.0,106,6,5.7,18,17.0,45,42.5,17,16.0,20,18.9,37,34.9
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",69,69,100.0,69,7,10.1,6,8.7,12,17.4,32,46.4,12,17.4,44,63.8
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",52,51,98.1,51,24,47.1,"*","*",13,25.5,9,17.6,"*","*","*","*"
